               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.029217,            0.049704,            0.032328,             0.89536,             0.81767,              0.8456,             0.54375,            0.025178,            0.049814,            0.032242,          0.00062875,          0.00062875,          0.00062875
                  77,            0.028577,            0.049252,            0.032276,             0.90041,             0.81394,             0.84939,             0.54783,            0.024946,             0.04978,            0.032232,           0.0006238,           0.0006238,           0.0006238
                  78,            0.028742,            0.048693,            0.032354,             0.88862,             0.81987,             0.84709,             0.54331,            0.025334,            0.049943,            0.032253,          0.00061885,          0.00061885,          0.00061885
                  79,            0.028754,            0.049306,            0.032325,             0.89335,             0.82217,             0.84748,             0.55028,            0.024821,            0.049539,            0.032234,           0.0006139,           0.0006139,           0.0006139
                  80,            0.028642,            0.048738,            0.032294,             0.88908,             0.82178,              0.8458,             0.54669,            0.024775,            0.050568,            0.032241,          0.00060895,          0.00060895,          0.00060895
                  81,            0.028414,            0.047975,            0.032297,             0.89583,             0.82252,             0.84798,             0.54702,            0.024833,            0.050176,            0.032231,            0.000604,            0.000604,            0.000604
                  82,            0.028522,            0.048461,            0.032309,             0.89996,             0.81971,             0.84666,             0.54818,            0.024798,            0.049606,            0.032228,          0.00059905,          0.00059905,          0.00059905
                  83,            0.028363,            0.049197,            0.032308,             0.90024,             0.82381,             0.85133,             0.55001,            0.024651,             0.04975,            0.032207,           0.0005941,           0.0005941,           0.0005941
                  84,            0.028434,            0.048433,            0.032276,             0.88874,             0.82558,             0.84724,             0.55109,            0.024721,            0.050301,            0.032192,          0.00058915,          0.00058915,          0.00058915
                  85,            0.028157,            0.048394,            0.032308,              0.8997,             0.81485,             0.85173,             0.55413,            0.024634,            0.048918,            0.032207,           0.0005842,           0.0005842,           0.0005842
                  86,            0.027927,            0.048077,            0.032284,             0.90087,             0.82945,             0.85423,             0.55546,            0.024492,            0.049374,            0.032189,          0.00057925,          0.00057925,          0.00057925
                  87,            0.028463,            0.048512,            0.032322,             0.88511,              0.8238,             0.85298,             0.55366,            0.024545,            0.050555,            0.032203,           0.0005743,           0.0005743,           0.0005743
                  88,             0.02778,            0.047623,            0.032284,             0.88399,              0.8188,             0.84172,             0.55144,              0.0245,            0.050649,            0.032236,          0.00056935,          0.00056935,          0.00056935
                  89,             0.02825,            0.048504,            0.032275,             0.90302,             0.82202,             0.85329,             0.55428,            0.024412,            0.049576,            0.032196,           0.0005644,           0.0005644,           0.0005644
                  90,            0.028049,             0.04754,            0.032282,             0.89659,             0.82247,             0.85272,             0.55557,             0.02434,            0.049539,            0.032193,          0.00055945,          0.00055945,          0.00055945
                  91,            0.028049,            0.047683,            0.032321,             0.89796,               0.819,             0.84857,             0.55734,             0.02422,            0.049651,            0.032182,           0.0005545,           0.0005545,           0.0005545
                  92,            0.027685,            0.048034,            0.032256,             0.88874,             0.82682,              0.8503,             0.55301,            0.024131,            0.049882,            0.032195,          0.00054955,          0.00054955,          0.00054955
                  93,            0.027974,            0.048298,            0.032258,             0.89493,             0.83038,               0.855,             0.56043,            0.024207,            0.049959,            0.032182,           0.0005446,           0.0005446,           0.0005446
                  94,            0.027634,            0.047537,            0.032262,             0.90146,             0.83247,             0.85632,             0.56392,            0.024156,            0.049383,            0.032159,          0.00053965,          0.00053965,          0.00053965
                  95,            0.027815,            0.047739,            0.032296,             0.89536,             0.83252,             0.85468,             0.56215,            0.023985,            0.049077,            0.032165,           0.0005347,           0.0005347,           0.0005347
